repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,summary_text,missing_facts_list,unsupported_claims_list,facts_by_category,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,gemma2:9b,raw,success,115930,2307,118,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,15,0,True,1.0,1.0,1.0,1.0,True,0.007,0.2143,0.1027,0.0,False,,,,,,,"fabricated_technology,over_generic","{
  ""overview"": ""This repository contains a Node.js application that manages tutorials. It uses a database to store tutorial information and provides RESTful endpoints for creating, retrieving, updating, and deleting tutorials."",
  ""tech_stack"": [
    ""JavaScript"",
    ""Express"",
    ""Sequelize""
  ],
  ""services"": [
    ""REST API"",
    ""Database interaction""
  ],
  ""dependencies"": [
    ""express"",
    ""cors"",
    ""sequelize""
  ]
}",[],"[""This repository contains a Node.js application that manages tutorials. It uses a database to store tutorial information""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,gemma2:9b,dependency_graph,success,26564,505,115,0.0,mistral:7b-instruct,False,True,1.0,4,4,True,0.6667,15,5,True,1.0,1.0,1.0,1.0,True,0.0061,0.175,0.0828,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,missed_framework_or_language,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,over_generic","{
""overview"": ""This repository appears to contain a simple web application. It defines a route for handling tutorial-related requests and uses a database for data persistence."",
""tech_stack"": [
""JavaScript"",
""Express"",
""cors"",
""pg"",
""pg-hstore"",
""sequelize""
],
""services"": [
""HTTP server""
],
""dependencies"": [
""cors"",
""express"",
""pg"",
""pg-hstore"",
""sequelize""
]
}","[""Framework: express ^4.18.2"", ""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /"", ""Endpoint: DELETE /api/tutorials""]","[""This repository appears to contain a simple web application."", ""It defines a route for handling tutorial-related requests and uses a database for data persistence."", ""uses a database"", ""data persistence""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,gemma2:9b,knowledge_graph,success,19997,616,124,0.0,mistral:7b-instruct,False,True,0.0,5,0,True,0.8,15,3,True,1.0,1.0,1.0,1.0,True,0.0143,0.2143,0.1129,0.0,False,,,,,,,"missed_framework_or_language,missed_endpoint,missed_endpoint","{
""overview"": ""This repository contains a Node.js application built with the Express framework. It manages tutorials, likely with CRUD operations, and includes endpoints for retrieving, deleting, updating, and creating tutorials."",
""tech_stack"": [
""JavaScript"",
""express"",
""cors"",
""pg"",
""pg-hstore"",
""sequelize""
],
""services"": [
""HTTP server""
],
""dependencies"": [
""cors"",
""express"",
""pg"",
""pg-hstore"",
""sequelize""
]
}","[""Framework: express ^4.18.2"", ""Endpoint: GET /"", ""Endpoint: DELETE /api/tutorials""]",[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,gemma2:9b,raw,success,80242,2124,197,0.0,mistral:7b-instruct,False,True,0.0,6,0,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0118,0.2192,0.114,0.0,False,,,,,,,,"{
  ""overview"": ""This repository contains a Node.js application built with Express.js that utilizes Passport.js for authentication. It includes routes for a welcome page, a dashboard, user registration, and login."",
  ""tech_stack"": [
    ""JavaScript"",
    ""Express.js"",
    ""Express-ejs-layouts"",
    ""Mongoose"",
    ""Passport.js"",
    ""Connect-flash"",
    ""bcryptjs""
  ],
  ""services"": [
    ""HTTP server"",
    ""User registration"",
    ""User login"",
    ""User logout""
  ],
  ""dependencies"": [
    ""express"",
    ""express-ejs-layouts"",
    ""mongoose"",
    ""passport"",
    ""connect-flash"",
    ""express-session"",
    ""passport-local"",
    ""bcryptjs""
  ]
}",[],[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,gemma2:9b,dependency_graph,success,36090,509,199,0.0,mistral:7b-instruct,False,True,0.2,5,1,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0171,0.1493,0.0578,0.0,False,,,,,,,"fabricated_technology,over_generic","{
  ""overview"": ""This repository appears to be a Node.js web application. It includes routes for handling user-related requests and a configuration file for authentication."",
  ""tech_stack"": [
    ""JavaScript"",
    ""Express"",
    ""Mongoose"",
    ""Passport"",
    ""bcryptjs"",
    ""connect-flash"",
    ""ejs"",
    ""express-ejs-layouts"",
    ""express-session"",
    ""nodemon""
  ],
  ""services"": [
    ""HTTP server"",
    ""Authentication""
  ],
  ""dependencies"": [
    ""bcryptjs"",
    ""connect-flash"",
    ""ejs"",
    ""express"",
    ""express-ejs-layouts"",
    ""express-session"",
    ""mongoose"",
    ""nodemon"",
    ""passport"",
    ""passport-local""
  ]
}",[],"[""Mongoose""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,gemma2:9b,knowledge_graph,success,30938,596,195,0.0,mistral:7b-instruct,False,True,0.0,5,0,True,0.6316,19,7,True,1.0,1.0,1.0,1.0,True,0.0266,0.1975,0.205,0.0,False,,,,,,,"missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","{
""overview"": ""This repository contains a Node.js web application built with Express. It features routes for user registration, login, and logout, as well as a dashboard endpoint. The application utilizes Passport.js for authentication and Mongoose for database interactions."",
""tech_stack"": [
""JavaScript"",
""express"",
""bcryptjs"",
""connect-flash"",
""ejs"",
""express-ejs-layouts"",
""express-session"",
""mongoose"",
""nodemon"",
""passport"",
""passport-local""
],
""services"": [
""HTTP server"",
""authentication service""
],
""dependencies"": [
""bcryptjs"",
""connect-flash"",
""ejs"",
""express"",
""express-ejs-layouts"",
""express-session"",
""mongoose"",
""nodemon"",
""passport"",
""passport-local""
]
}","[""Endpoint: GET /"", ""Endpoint: GET /dashboard"", ""Endpoint: POST /users/register"", ""Endpoint: POST /users/login"", ""Endpoint: GET /users/logout"", ""Endpoint: GET /users/login"", ""Endpoint: GET /users/register""]",[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,gemma2:9b,raw,success,99244,7315,201,0.0,mistral:7b-instruct,False,True,0.1667,6,1,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0092,0.2118,0.1563,0.0,False,,,,,,,fabricated_technology,"```json
{
  ""overview"": ""This repository contains a Node.js application built with Express.js, MongoDB, and JWT authentication. It provides a basic structure for a REST API with endpoints for user registration, login, and data retrieval."",
  ""tech_stack"": [
    ""Node.js"",
    ""Express.js"",
    ""MongoDB"",
    ""JWT"",
    ""bcryptjs""
  ],
  ""services"": [
    ""HTTP server"",
    ""Authentication service""
  ],
  ""dependencies"": [
    ""express"",
    ""mongoose"",
    ""jsonwebtoken"",
    ""bcryptjs"",
    ""dotenv"",
    ""morgan"",
    ""helmet"",
    ""xss-clean"",
    ""mongo-sanitize"",
    ""compression"",
    ""cors"",
    ""nodemailer"",
    ""winston"",
    ""joi""
  ]
}
```",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,gemma2:9b,dependency_graph,success,101449,1684,386,0.0,mistral:7b-instruct,False,True,0.0,6,0,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0119,0.1842,0.097,0.0,False,,,,,,,,"{
""overview"": ""This repository contains a Node.js application built with Express. It includes routes for user authentication and management, as well as documentation using Swagger."",
""tech_stack"": [
""JavaScript"",
""Express"",
""bcryptjs"",
""compression"",
""cors"",
""dotenv"",
""express-mongo-sanitize"",
""express-rate-limit"",
""jsonwebtoken"",
""mongoose"",
""morgan"",
""passport"",
""passport-jwt"",
""swagger-jsdoc"",
""swagger-ui-express"",
""joi"",
""winston""
],
""services"": [
""HTTP server"",
""User authentication"",
""User management"",
""Documentation API""
],
""dependencies"": [
""bcryptjs"",
""compression"",
""cors"",
""coveralls"",
""cross-env"",
""dotenv"",
""eslint"",
""eslint-config-airbnb-base"",
""eslint-config-prettier"",
""eslint-plugin-import"",
""eslint-plugin-jest"",
""eslint-plugin-prettier"",
""eslint-plugin-security"",
""express"",
""express-mongo-sanitize"",
""express-rate-limit"",
""faker"",
""helmet"",
""http-status"",
""husky"",
""jest"",
""joi"",
""jsonwebtoken"",
""lint-staged"",
""moment"",
""mongoose"",
""morgan"",
""node-mocks-http"",
""nodemailer"",
""nodemon"",
""passport"",
""passport-jwt"",
""pm2"",
""prettier"",
""supertest"",
""swagger-jsdoc"",
""swagger-ui-express"",
""validator"",
""winston"",
""xss-clean""
]
}",[],[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,gemma2:9b,knowledge_graph,success,74638,1195,362,0.0,mistral:7b-instruct,False,True,0.0,6,0,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0097,0.1818,0.105,0.0,False,,,,,,,,"{
""overview"": ""This repository contains a Node.js application built with the Express framework. It includes routes, controllers, services, and middleware for handling API requests. The application also utilizes various libraries for authentication, validation, email sending, and logging."",
""tech_stack"": [
""JavaScript"",
""express"",
""bcryptjs"",
""compression"",
""cors"",
""dotenv"",
""eslint"",
""jsonwebtoken"",
""mongoose"",
""morgan"",
""passport"",
""winston""
],
""services"": [
""HTTP server"",
""Authentication service"",
""Email service""
],
""dependencies"": [
""bcryptjs"",
""compression"",
""cors"",
""coveralls"",
""cross-env"",
""dotenv"",
""eslint"",
""eslint-config-airbnb-base"",
""eslint-config-prettier"",
""eslint-plugin-import"",
""eslint-plugin-jest"",
""eslint-plugin-prettier"",
""eslint-plugin-security"",
""express"",
""express-mongo-sanitize"",
""express-rate-limit"",
""faker"",
""helmet"",
""http-status"",
""husky"",
""jest"",
""joi"",
""jsonwebtoken"",
""lint-staged"",
""moment"",
""mongoose"",
""morgan"",
""node-mocks-http"",
""nodemailer"",
""nodemon"",
""passport"",
""passport-jwt"",
""pm2"",
""prettier"",
""supertest"",
""swagger-jsdoc"",
""swagger-ui-express"",
""validator"",
""winston"",
""xss-clean""
]
}",[],[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,gemma2:9b,raw,success,100153,4549,190,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,44,0,True,1.0,1.0,0.125,0.7083,True,0.0232,0.1538,0.1398,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository contains a REST API built with Express.js. It includes endpoints for user management, including creating, retrieving, updating, and deleting users. Authentication is handled using JWT tokens."",
  ""tech_stack"": [
    ""JavaScript"",
    ""Express.js"",
    ""Joi"",
    ""Mongoose""
  ],
  ""services"": [
    ""HTTP server"",
    ""User management API""
  ],
  ""dependencies"": [
    ""express"",
    ""express-validation"",
    ""express-winston"",
    ""express-jwt"",
    ""body-parser"",
    ""cookie-parser"",
    ""compression"",
    ""method-override"",
    ""cors"",
    ""helmet"",
    ""jsonwebtoken"",
    ""mongoose"",
    ""winston""
  ]
}",[],"[""Mongoose""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 34, ""Endpoint"": 8}",
