repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,summary_text,missing_facts_list,unsupported_claims_list,facts_by_category,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,raw,success,78745,1934,101,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,0.6,15,6,True,1.0,1.0,1.0,1.0,True,0.0783,0.2737,0.2355,0.0,False,,,,,,,"fabricated_technology,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","{
  ""overview"": ""This repository is a Node.js application using Express.js as the framework and Sequelize.js as the ORM for interacting with a PostgreSQL database. It provides a RESTful API for managing tutorials, including creating, reading, updating, and deleting tutorials."",
  ""tech_stack"": [""JavaScript"", ""Express.js"", ""Sequelize.js"", ""PostgreSQL""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""express"", ""cors"", ""sequelize"", ""pg""]
}","[""Endpoint: GET /"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /api/tutorials/:id"", ""Endpoint: PUT /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials/:id"", ""Endpoint: DELETE /api/tutorials""]","[""Sequelize.js as the ORM for interacting with a PostgreSQL database.""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,dependency_graph,success,9981,447,96,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,0.7333,15,4,True,1.0,1.0,1.0,1.0,True,0.0622,0.2609,0.1901,0.0,False,,,,,,,"fabricated_technology,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","{
  ""overview"": ""This repository appears to be a Node.js application using Express as the framework and Sequelize as the ORM for interacting with a PostgreSQL database. It includes a single service for handling HTTP requests related to tutorials."",
  ""tech_stack"": [""JavaScript"", ""Express"", ""Sequelize"", ""PostgreSQL""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""cors"", ""express"", ""pg"", ""pg-hstore"", ""sequelize""]
}","[""Endpoint: POST /api/tutorials"", ""Endpoint: GET /api/tutorials/published"", ""Endpoint: GET /"", ""Endpoint: DELETE /api/tutorials""]","[""Sequelize as the ORM for interacting with a PostgreSQL database""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,knowledge_graph,success,10582,567,107,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,15,0,True,1.0,1.0,1.0,1.0,True,0.0378,0.2553,0.254,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a Node.js application using the Express framework to create a RESTful API for managing tutorials. It includes endpoints for creating, reading, updating, and deleting tutorials, as well as retrieving tutorials based on their publication status."",
  ""tech_stack"": [""JavaScript"", ""Express"", ""Sequelize"", ""pg"", ""pg-hstore""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""cors"", ""express"", ""pg"", ""pg-hstore"", ""sequelize""]
}",[],"[""Sequelize""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,raw,success,52073,1775,105,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.028,0.2192,0.212,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a Node.js application using Express.js as the framework, MongoDB for the database, and Passport.js for authentication. It provides user registration, login, and dashboard functionalities."",
  ""tech_stack"": [""JavaScript"", ""Express.js"", ""MongoDB"", ""Passport.js""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""express"", ""express-ejs-layouts"", ""mongoose"", ""passport"", ""bcryptjs"", ""connect-flash"", ""express-session""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,dependency_graph,success,12401,463,122,0.0,mistral:7b-instruct,False,True,0.2,5,1,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0133,0.1842,0.1408,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository appears to be a Node.js application using Express as the framework, with MongoDB through Mongoose for database operations. It includes user authentication with Passport.js and uses EJS for templating."",
  ""tech_stack"": [""JavaScript"", ""Express"", ""Mongoose"", ""Passport.js"", ""EJS""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""bcryptjs"", ""connect-flash"", ""ejs"", ""express"", ""express-ejs-layouts"", ""express-session"", ""mongoose"", ""nodemon"", ""passport"", ""passport-local""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,knowledge_graph,success,11556,549,119,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0143,0.2338,0.1681,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository appears to be a web application built with Express.js, featuring user authentication and registration, as well as a dashboard. It uses MongoDB through Mongoose for data storage and EJS for templating."",
  ""tech_stack"": [""JavaScript"", ""Express"", ""Mongoose"", ""EJS""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""bcryptjs"", ""connect-flash"", ""ejs"", ""express"", ""express-ejs-layouts"", ""express-session"", ""mongoose"", ""nodemon"", ""passport"", ""passport-local""]
}",[],"[""This repository appears to be a web application built with Express.js, featuring user authentication and registration, as well as a dashboard. It uses MongoDB through Mongoose for data storage and EJS for templating.""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,raw,success,76316,6013,196,0.0,mistral:7b-instruct,False,True,0.8333,6,5,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0076,0.1707,0.0746,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology","{
  ""overview"": ""This repository is a Node.js application template using Express.js, featuring authentication, authorization, and other common features. It includes a CLI for creating new projects based on this template."",
  ""tech_stack"": [""JavaScript"", ""Express.js"", ""MongoDB"", ""JWT"", ""Passport.js"", ""Mongoose"", ""Jest"", ""Swagger""],
  ""services"": [""HTTP server""],
  ""dependencies"": [
    ""bcryptjs"",
    ""cors"",
    ""dotenv"",
    ""express"",
    ""express-mongo-sanitize"",
    ""helmet"",
    ""http-status"",
    ""joi"",
    ""jsonwebtoken"",
    ""jwks-rsa"",
    ""mongoose"",
    ""morgan"",
    ""nodemailer"",
    ""passport"",
    ""passport-jwt"",
    ""rate-limit"",
    ""swagger-jsdoc"",
    ""swagger-ui-express"",
    ""uuid"",
    ""xss-clean""
  ]
}",[],"[""MongoDB"", ""JWT"", ""Passport.js"", ""jwks-rsa"", ""rate-limit""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,dependency_graph,success,35451,1329,306,0.0,mistral:7b-instruct,False,True,0.1429,7,1,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0222,0.1935,0.155,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository appears to be a Node.js application with an Express.js framework, utilizing MongoDB for data storage via Mongoose. It includes authentication, user management, and email services. The application also has middleware for rate limiting, error handling, and validation."",
  ""tech_stack"": [""JavaScript"", ""Express.js"", ""Mongoose"", ""MongoDB"", ""bcryptjs"", ""jsonwebtoken"", ""passport"", ""passport-jwt"", ""nodemailer"", ""swagger-jsdoc"", ""swagger-ui-express""],
  ""services"": [""HTTP server"", ""Authentication service"", ""User management service"", ""Email service""],
  ""dependencies"": [""bcryptjs"", ""compression"", ""cors"", ""coveralls"", ""cross-env"", ""dotenv"", ""eslint"", ""eslint-config-airbnb-base"", ""eslint-config-prettier"", ""eslint-plugin-import"", ""eslint-plugin-jest"", ""eslint-plugin-prettier"", ""eslint-plugin-security"", ""express"", ""express-mongo-sanitize"", ""express-rate-limit"", ""faker"", ""helmet"", ""http-status"", ""husky"", ""jest"", ""joi"", ""jsonwebtoken"", ""lint-staged"", ""moment"", ""mongoose"", ""morgan"", ""node-mocks-http"", ""nodemailer"", ""nodemon"", ""passport"", ""passport-jwt"", ""pm2"", ""prettier"", ""supertest"", ""swagger-jsdoc"", ""swagger-ui-express"", ""validator"", ""winston"", ""xss-clean""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,knowledge_graph,success,27337,1031,249,0.0,mistral:7b-instruct,False,True,0.0,5,0,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0067,0.1538,0.0751,0.0,False,,,,,,,,"{
  ""overview"": ""This repository appears to be a Node.js application using the Express framework for building a RESTful API. It includes authentication, user management, and email services."",
  ""tech_stack"": [""JavaScript"", ""Express"", ""bcryptjs"", ""jsonwebtoken"", ""mongoose"", ""nodemailer""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""bcryptjs"", ""compression"", ""cors"", ""coveralls"", ""cross-env"", ""dotenv"", ""eslint"", ""eslint-config-airbnb-base"", ""eslint-config-prettier"", ""eslint-plugin-import"", ""eslint-plugin-jest"", ""eslint-plugin-prettier"", ""eslint-plugin-security"", ""express"", ""express-mongo-sanitize"", ""express-rate-limit"", ""faker"", ""helmet"", ""http-status"", ""husky"", ""jest"", ""joi"", ""jsonwebtoken"", ""lint-staged"", ""moment"", ""mongoose"", ""morgan"", ""node-mocks-http"", ""nodemailer"", ""nodemon"", ""passport"", ""passport-jwt"", ""pm2"", ""prettier"", ""supertest"", ""swagger-jsdoc"", ""swagger-ui-express"", ""validator"", ""winston"", ""xss-clean""]
}",[],[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,qwen2.5-coder:7b,raw,success,86854,3790,128,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,44,0,True,1.0,1.0,0.125,0.7083,True,0.0113,0.1538,0.0877,0.0,False,,,,,,,fabricated_technology,"{
  ""overview"": ""This repository is a Node.js application using Express.js as the framework, MongoDB as the database, and JWT for authentication. It includes routes for user management and authentication."",
  ""tech_stack"": [""JavaScript"", ""Express.js"", ""MongoDB"", ""JWT""],
  ""services"": [""HTTP server""],
  ""dependencies"": [""express"", ""mongoose"", ""joi"", ""dotenv"", ""morgan"", ""body-parser"", ""cookie-parser"", ""compression"", ""method-override"", ""cors"", ""http-status"", ""express-winston"", ""express-validation"", ""helmet"", ""winston""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 34, ""Endpoint"": 8}",
