repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,coverage_judged,coverage_score,total_facts,missing_facts,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,text_overlap_scored,bleu4,rouge_l,meteor,bertscore_f1,quality_judged,quality_mean_score,quality_completeness,quality_conciseness,quality_correctness,quality_cohesiveness,quality_domain_specificity,failure_tags,summary_text,missing_facts_list,unsupported_claims_list,facts_by_category,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,raw,success,112377,2555,119,0.0,mistral:7b-instruct,False,True,0.5,4,2,True,1.0,15,0,True,1.0,1.0,1.0,1.0,True,0.0392,0.2766,0.2141,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,over_generic","{
""overview"": ""This repository contains a Node.js application that uses Sequelize to interact with a PostgreSQL database. The application provides CRUD (create, read, update, delete) operations for a 'tutorial' table, and also includes a route to retrieve all published tutorials."",
""tech_stack"": [""Node.js"", ""Sequelize"", ""PostgreSQL""],
""services"": [""HTTP server"", ""background worker""],
""dependencies"": [""express"", ""cors"", ""body-parser"", ""sequelize""]
}",[],"[""Sequelize"", ""background worker""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,dependency_graph,success,22187,549,94,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,15,0,True,1.0,1.0,1.0,1.0,True,0.0234,0.1481,0.1419,0.0,False,,,,,,,"fabricated_technology,over_generic","
{
""overview"": ""This repository appears to be a web application that provides a tutorial on a specific topic. It uses a Node.js framework and a PostgreSQL database."",
""tech_stack"": [""Node.js"", ""Express"", ""PostgreSQL""],
""services"": [""HTTP server""],
""dependencies"": [""cors"", ""express"", ""pg"", ""pg-hstore"", ""sequelize""]
}",[],"[""This repository appears to be a web application that provides a tutorial on a specific topic.""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,codellama:7b-instruct,knowledge_graph,success,17238,675,137,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,15,0,True,1.0,1.0,1.0,1.0,True,0.0459,0.2617,0.2391,0.0,False,,,,,,,fabricated_technology,"
{
""overview"": ""This repository appears to be a web application using the Express framework for Node.js, with a PostgreSQL database and Sequelize as the ORM. It includes a RESTful API for managing tutorials, with endpoints for creating, reading, updating, and deleting tutorials. The repository also includes a configuration file for the database connection."",
""tech_stack"": [""Node.js"", ""Express"", ""PostgreSQL"", ""Sequelize""],
""services"": [""HTTP server""],
""dependencies"": [""cors"", ""express"", ""pg"", ""pg-hstore"", ""sequelize""]
}",[],"[""PostgreSQL""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 5, ""Endpoint"": 8}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,raw,success,58681,2348,141,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0197,0.2198,0.1718,0.0,False,,,,,,,fabricated_technology,"{
""overview"": ""This repository contains a web application built using the Express.js framework and MongoDB database. It provides a simple login and registration system, as well as a dashboard for authenticated users. The repository includes a few modules and endpoints, as well as a configuration file for Passport.js."",
""tech_stack"": [""JavaScript"", ""Express.js"", ""MongoDB"", ""Passport.js""],
""services"": [""HTTP server"", ""background worker""],
""dependencies"": [""express"", ""express-ejs-layouts"", ""mongoose"", ""passport"", ""connect-flash"", ""express-session""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,dependency_graph,success,26510,556,137,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0124,0.1867,0.113,0.0,False,,,,,,,fabricated_technology,"
{
""overview"": ""This repository appears to be a web application using the Express.js framework and MongoDB as the database. It includes a user authentication system using Passport.js and bcryptjs for password hashing."",
""tech_stack"": [""JavaScript"", ""Express.js"", ""MongoDB"", ""Passport.js"", ""bcryptjs""],
""services"": [""HTTP server"", ""background worker""],
""dependencies"": [""connect-flash"", ""ejs"", ""express"", ""express-ejs-layouts"", ""express-session"", ""mongoose"", ""nodemon"", ""passport""]
}",[],"[""MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,codellama:7b-instruct,knowledge_graph,success,18262,650,152,0.0,mistral:7b-instruct,False,False,0.0,0,0,True,1.0,19,0,True,1.0,1.0,1.0,1.0,True,0.0205,0.2022,0.1223,0.0,False,,,,,,,malformed_output,"
{
""overview"": ""This repository appears to be a web application built using the Express.js framework. It includes a user registration and login system, as well as a dashboard for users. The repository also includes a configuration file for Passport.js and a dependency on the Mongoose ORM."",
""tech_stack"": [""JavaScript"", ""Express.js"", ""Mongoose""],
""services"": [""HTTP server"", ""background worker""],
""dependencies"": [""bcryptjs"", ""connect-flash"", ""ejs"", ""express"", ""express-ejs-layouts"", ""express-session"", ""mongoose"", ""nodemon"", ""passport"", ""passport-local""]
}",[],[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 10, ""Endpoint"": 7}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,raw,success,81774,8164,101,0.0,mistral:7b-instruct,False,True,0.25,4,1,True,1.0,57,0,True,0.9744,0.125,0.0,0.3665,True,0.0023,0.1471,0.0659,0.0,False,,,,,,,fabricated_technology,"
Here is the JSON object for the repository analysis:
```json
{
  ""overview"": ""This repository contains a Node.js boilerplate for building RESTful APIs with Express.js and MongoDB."",
  ""languages"": [""JavaScript"", ""TypeScript""],
  ""frameworks"": [""Express.js"", ""MongoDB""],
  ""tools"": [""Node.js"", ""npm""],
  ""license"": ""MIT""
}
```",[],"[""This repository contains a Node.js boilerplate for building RESTful APIs with Express.js and MongoDB.""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,dependency_graph,success,73160,1817,350,0.0,mistral:7b-instruct,False,True,0.2,5,1,True,0.9123,57,5,True,0.9744,0.125,0.0,0.3665,True,0.0189,0.1887,0.1118,0.0,False,,,,,,,"fabricated_technology,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint","
{
""overview"": ""This repository appears to be a Node.js application that uses Express.js as the web framework and Mongoose as the ODM for MongoDB. It also uses JWT for authentication and Passport.js for authentication. The repository includes a variety of modules and endpoints for handling user authentication, user registration, and user profile management."",
""tech_stack"": [""Node.js"", ""Express.js"", ""Mongoose"", ""JWT"", ""Passport.js""],
""services"": [""HTTP server"", ""background worker""],
""dependencies"": [""bcryptjs"", ""compression"", ""cors"", ""coveralls"", ""cross-env"", ""dotenv"", ""eslint"", ""eslint-config-airbnb-base"", ""eslint-config-prettier"", ""eslint-plugin-import"", ""eslint-plugin-jest"", ""eslint-plugin-prettier"", ""eslint-plugin-security"", ""express"", ""express-mongo-sanitize"", ""express-rate-limit"", ""faker"", ""helmet"", ""http-status"", ""husky"", ""jest"", ""joi"", ""jsonwebtoken"", ""lint-staged"", ""moment"", ""mongoose"", ""morgan"", ""node-mocks-http"", ""nodemailer"", ""nodemon"", ""passport"", ""passport-jwt"", ""pm2"", ""prettier"", ""supertest"", ""swagger-jsdoc"", ""swagger-ui-express"", ""validator"", ""winston"", ""xss-clean""]
}","[""Endpoint: OPTIONS *"", ""Endpoint: POST /send-verification-email"", ""Endpoint: DELETE /:userId"", ""Endpoint: PATCH /:userId"", ""Endpoint: POST /forgot-password""]","[""Mongoose as the ODM for MongoDB""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,codellama:7b-instruct,knowledge_graph,success,64267,1309,338,0.0,mistral:7b-instruct,False,True,0.0,5,0,True,0.807,57,11,True,0.9744,0.125,0.0,0.3665,True,0.0109,0.1584,0.1125,0.0,False,,,,,,,"missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_endpoint,missed_dependency,missed_dependency,missed_dependency,missed_dependency","
{
""overview"": ""This repository appears to be a Node.js application using the Express framework for building RESTful APIs. It includes a variety of features such as user authentication, email verification, password reset, and token generation. The repository also includes a test suite using Jest and a linting configuration using ESLint."",
""tech_stack"": [""Node.js"", ""Express"", ""Jest"", ""ESLint""],
""services"": [""HTTP server"", ""background worker""],
""dependencies"": [""bcryptjs"", ""compression"", ""cors"", ""coveralls"", ""cross-env"", ""dotenv"", ""eslint"", ""eslint-config-airbnb-base"", ""eslint-config-prettier"", ""eslint-plugin-import"", ""eslint-plugin-jest"", ""eslint-plugin-prettier"", ""eslint-plugin-security"", ""express"", ""express-mongo-sanitize"", ""express-rate-limit"", ""faker"", ""helmet"", ""http-status"", ""husky"", ""jest"", ""joi"", ""jsonwebtoken"", ""lint-staged"", ""moment"", ""mongoose"", ""morgan"", ""node-mocks-http"", ""nodemailer"", ""nodemon"", ""passport"", ""passport-jwt"", ""pm2"", ""prettier"", ""supertest"", ""swagger-jsdoc"", ""swagger-ui-express"", ""validator"", ""winston"", ""xss-clean""]
}","[""Endpoint: OPTIONS *"", ""Endpoint: POST /logout"", ""Endpoint: DELETE /:userId"", ""Endpoint: PATCH /:userId"", ""Endpoint: POST /send-verification-email"", ""Endpoint: POST /forgot-password"", ""Endpoint: POST /refresh-tokens"", ""Dependency: eslint-plugin-security"", ""Dependency: winston"", ""Dependency: xss-clean"", ""Dependency: coveralls""]",[],"{""Framework"": 1, ""Language"": 1, ""Dependency"": 40, ""Endpoint"": 15}",
express-mongoose-es6-rest-api,https://github.com/kunalkapadia/express-mongoose-es6-rest-api,express,codellama:7b-instruct,raw,success,82969,4966,106,0.0,mistral:7b-instruct,False,True,1.0,4,4,True,1.0,44,0,True,1.0,1.0,0.125,0.7083,True,0.0112,0.2,0.1574,0.0,False,,,,,,,"fabricated_technology,fabricated_technology,fabricated_technology,fabricated_technology","
{
  ""overview"": ""This repository contains a simple RESTful API built with Node.js, Express, and Mongoose. It includes a user model, user routes, and authentication routes."",
  ""tech_stack"": [""Node.js"", ""Express"", ""Mongoose"", ""JSON Web Tokens""],
  ""services"": [""HTTP server"", ""background worker""],
  ""dependencies"": [""dotenv"", ""express"", ""mongoose"", ""jsonwebtoken""]
}",[],"[""This repository contains a simple RESTful API built with Node.js, Express, and Mongoose."", ""It includes a user model."", ""It includes user routes."", ""It includes authentication routes.""]","{""Framework"": 1, ""Language"": 1, ""Dependency"": 34, ""Endpoint"": 8}",
