repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,raw,success,20151,1825,73,0.0,gemma2:9b,False,True,0.375,8,3,True,1.0,0.0,0.1333,0.3778,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,dependency_graph,success,5552,314,88,0.0,gemma2:9b,False,True,0.6,5,3,True,1.0,0.0,0.1333,0.3778,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,qwen2.5-coder:7b,knowledge_graph,success,5324,423,66,0.0,gemma2:9b,False,True,0.0,5,0,True,1.0,0.0,0.1333,0.3778,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,raw,success,24977,1666,101,0.0,gemma2:9b,False,True,0.25,8,2,True,1.0,0.0,0.2857,0.4286,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,dependency_graph,success,12429,332,115,0.0,gemma2:9b,False,True,0.4,5,2,True,1.0,0.0,0.2857,0.4286,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,qwen2.5-coder:7b,knowledge_graph,success,13399,435,99,0.0,gemma2:9b,False,True,0.0,10,0,True,1.0,0.0,0.2857,0.4286,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,raw,success,55590,2147,140,0.0,gemma2:9b,False,True,0.2222,9,2,True,0.8636,0.0,0.0,0.2879,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,dependency_graph,success,25697,958,102,0.0,gemma2:9b,False,True,0.8889,9,8,True,0.8636,0.0,0.0,0.2879,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,qwen2.5-coder:7b,knowledge_graph,success,30203,952,131,0.0,gemma2:9b,False,True,1.0,10,10,True,0.8636,0.0,0.0,0.2879,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,qwen2.5-coder:7b,raw,success,36679,2124,86,0.0,gemma2:9b,False,True,0.3333,6,2,True,1.0,0.0,1.0,0.6667,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,qwen2.5-coder:7b,dependency_graph,success,35066,744,222,0.0,gemma2:9b,False,True,0.2,10,2,True,1.0,0.0,1.0,0.6667,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,qwen2.5-coder:7b,knowledge_graph,success,35021,949,183,0.0,gemma2:9b,False,True,0.0,12,0,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,qwen2.5-coder:7b,raw,success,39682,2118,106,0.0,gemma2:9b,False,True,0.375,8,3,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,qwen2.5-coder:7b,dependency_graph,success,32466,981,125,0.0,gemma2:9b,False,True,0.25,8,2,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,qwen2.5-coder:7b,knowledge_graph,success,57673,1010,362,0.0,gemma2:9b,False,True,0.3462,26,9,True,1.0,0.0,1.0,0.6667,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,qwen2.5-coder:7b,raw,success,38277,2122,72,0.0,gemma2:9b,False,True,0.6667,3,2,True,0.9373,0.0,0.0488,0.3287,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,qwen2.5-coder:7b,dependency_graph,success,69589,3303,215,0.0,gemma2:9b,False,True,0.0833,12,1,True,0.9373,0.0,0.0488,0.3287,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,qwen2.5-coder:7b,knowledge_graph,success,58730,3335,173,0.0,gemma2:9b,False,True,0.2222,9,2,True,0.9373,0.0,0.0488,0.3287,
