repo_name,source_url,framework,model,context_variant,run_status,latency_ms,input_tokens,output_tokens,estimated_cost_usd,judge_model,self_judged,hallucination_judged,hallucination_score,total_claims,unsupported_claims,diagram_scored,diagram_module_f1,diagram_import_f1,diagram_endpoint_f1,diagram_overall_f1,error
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,llama3.1:8b,raw,success,24048,1797,108,0.0,gemma2:9b,False,True,0.5,6,3,True,1.0,0.0,0.1333,0.3778,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,llama3.1:8b,dependency_graph,success,5042,316,75,0.0,gemma2:9b,False,True,0.2857,7,2,True,1.0,0.0,0.1333,0.3778,
node-express-sequelize-postgresql,https://github.com/bezkoder/node-express-sequelize-postgresql,express,llama3.1:8b,knowledge_graph,success,6865,421,96,0.0,gemma2:9b,False,True,0.125,8,1,True,1.0,0.0,0.1333,0.3778,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,llama3.1:8b,raw,success,94559,1665,148,0.0,gemma2:9b,False,True,0.2857,7,2,True,1.0,0.0,0.2857,0.4286,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,llama3.1:8b,dependency_graph,success,13591,334,84,0.0,gemma2:9b,False,True,0.0,10,0,True,1.0,0.0,0.2857,0.4286,
node_passport_login,https://github.com/bradtraversy/node_passport_login,express,llama3.1:8b,knowledge_graph,success,26393,437,158,0.0,gemma2:9b,False,True,0.0,10,0,True,1.0,0.0,0.2857,0.4286,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,llama3.1:8b,raw,success,44092,2140,135,0.0,gemma2:9b,False,True,0.5714,7,4,True,0.8636,0.0,0.0,0.2879,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,llama3.1:8b,dependency_graph,success,44050,960,270,0.0,gemma2:9b,False,True,0.0,26,0,True,0.8636,0.0,0.0,0.2879,
node-express-boilerplate,https://github.com/hagopj13/node-express-boilerplate,express,llama3.1:8b,knowledge_graph,success,43002,951,299,0.0,gemma2:9b,False,True,0.0,20,0,True,0.8636,0.0,0.0,0.2879,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,llama3.1:8b,raw,success,49599,2092,139,0.0,gemma2:9b,False,True,0.4,5,2,True,1.0,0.0,1.0,0.6667,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,llama3.1:8b,dependency_graph,success,37509,746,219,0.0,gemma2:9b,False,True,0.25,8,2,True,1.0,0.0,1.0,0.6667,
nestjs-realworld-example-app,https://github.com/lujakob/nestjs-realworld-example-app,nestjs,llama3.1:8b,knowledge_graph,success,40464,948,254,0.0,gemma2:9b,False,True,0.1429,14,2,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,llama3.1:8b,raw,success,43423,2112,154,0.0,gemma2:9b,False,True,0.2222,9,2,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,llama3.1:8b,dependency_graph,success,26804,983,142,0.0,gemma2:9b,False,True,0.0769,13,1,True,1.0,0.0,1.0,0.6667,
nestjs-prisma-starter,https://github.com/notiz-dev/nestjs-prisma-starter,nestjs,llama3.1:8b,knowledge_graph,success,23450,1009,129,0.0,gemma2:9b,False,True,0.0,6,0,True,1.0,0.0,1.0,0.6667,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,llama3.1:8b,raw,success,55970,2124,127,0.0,gemma2:9b,False,True,0.8,5,4,True,0.9373,0.0,0.0488,0.3287,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,llama3.1:8b,dependency_graph,success,112211,3296,447,0.0,gemma2:9b,False,True,1.0,23,23,True,0.9373,0.0,0.0488,0.3287,
nestjs-boilerplate,https://github.com/brocoders/nestjs-boilerplate,nestjs,llama3.1:8b,knowledge_graph,success,72129,3309,186,0.0,gemma2:9b,False,True,0.0,10,0,True,0.9373,0.0,0.0488,0.3287,
